Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," "," "," "
3.02," Custo dos Bens e/ou Serviços Vendidos "," "," "," "
3.03," Resultado Bruto "," "," "," "
3.04," Despesas/Receitas Operacionais "," -130712 "," -128727 "," -144042 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -130712 "," -128727 "," -144042 "
3.04.02.01," Despesas Tributárias "," -22063 "," -21009 "," -21706 "
3.04.02.02," Despesas Administrativas "," -95683 "," -97102 "," -112407 "
3.04.02.03," Despesas de serviços do sistema financeiro "," -12966 "," -10616 "," -9929 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.04.01," Resultado na Alienação de Investimento "," "," "," "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -130712 "," -128727 "," -144042 "
3.06," Resultado Financeiro "," 5673 "," 3025 "," 3897 "
3.06.01," Receitas Financeiras "," 5673 "," 3025 "," 3897 "
3.06.02," Despesas Financeiras "," "," "," "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -125039 "," -125702 "," -140145 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," "," "," "
3.08.01," Corrente "," "," "," "
3.08.02," Diferido "," "," "," "
3.09," Resultado Líquido das Operações Continuadas "," -125039 "," -125702 "," -140145 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," -125039 "," -125702 "," -140145 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," -0.00024 "," -0.00118 "," -0.00158 "
3.99.02," Lucro Diluído por Ação "," "," "," "
